response,comments,environment,education,wealth,occupation,income,class,regard.respect.reputation,ethnicity,friends,privilege,power,finances,family,mobility,possessions,position.vs.others,standard.of.living,good.person,importance,appearance,prestige,lifestyle,connections,success,wellbeing,social.conduct,affluence,authority,socioeconomic,hierarchy,economic,residence,influence,compassion,intelligence
I think it's all relative and that anyone can build up status if they want to.,"Did not answer the question of what the terms mean, just said that it is all relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The words make me thing of your placement in society in regard to income, education and your location of your home",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Terms like these make me think of individuals social and economic status. The statements listed above make me think of the eaas e of an individual being able to change either of these statuses. An individuals status most definitely can change the way peolle treat or even look at an individual. Status in society makes me think of an individual's financial status or status of persoanl success. The status a person has in society at large makes me think of the same things but also their social status. Where people stand in society at large makes me think of all of these things as well. Status markers just makes me think of everyway that you can define a person's status.,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A person's reputation & how well they can con other people into thinking of their status.,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Status I n society to me mean how a person is looked upon in today's world by others. It is their wealth and belongings that determines this.,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Economic status or where they are on the economic ladder. / 2. By making more money, you can change where you are economically. / 3. Again, where you are economically. / 4. How much money you have. / 5. Economically. / 6.Things that make you at one economic place or another. / 7. Economically. / 8. Economically",,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I would define people's ""status"" or their place in society as how admirably they are looked at by others. There are many factors that come in to play (i.e. wealth, power, intelligence, compassion, good deeds), so many people have their own definition as to what makes one a status symbol. Since there is not one definite measuring stick for status, I feel that one's status is determined by how they are respected by society as a whole, no matter what factors determine it.",,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Status in society when analyzed in context mean someone's 'social standing' or what the people in europe think of as 'social class'. This primarily is driven by the family you are born into and the amount of money they/you have.,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I believe that people can change their status in life, it is a matter of what a person is willing to do to make that change, it requires effort and perserverance. Anyone can make a difference in their lives, I feel it is a choice.","Did not answer the question of what the terms mean, just said that they believe they can change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Status in society means to me, the way a person moves in society; the things they do, the people they know, the attitudes they have,",Responses are very unspecific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The terms make me think of power-- specifically the power a person has over other people.,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a person's social reputation, how others perceive a person in terms of respect/wealth/power/influence.",,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"I think of them as your place in society ie blue collar, white collar, trailer trash. They define how others see you by your clothing, job, way of speaking. These things help other identify where you stand socially.",,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"status in society defines they groups of people that you socialize/belong with. Meaning higher status people are friends with people who are high ranking such as senators, business owners, the very wealthy. They attend gala's, send their children to private schools and live in high end homes.",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
To me it means my place in society with respect to my job and income level. How much I make dictates my standing socially and economically.,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
I would define these statements as my social status in society in terms of my wealth and what I own as my status markers. How I compare to others in these areas.,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Money. They make me think of how much money a person has or earns. What kind of house or car they have, what kind of job they have etc.",,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Status in society is the way people perceive you socially. A status marker can be a certain job, an article of clothing, a neighborhood address or a car. These things are very shallow usually, but they often affect how a person is treated in said society.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"snobbishness, , generalizing, restrictive, superficial",Responses are very unspecific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I think that anyone can change and anyone can work to change society.,"Did not answer the question of what the terms mean, just said that they believe they can change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"To me, it means mostly in what class you are born in. Upper class people usually have a certain way of presenting themselves and this comes out as higher status. Low income people will dress differently and act different than upper class and society will treat them differently as well",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terms like these seem outdated to me. I think that people can be anything they want to be, and if that means improving status, then absolutely people can change that. I think that it might be more difficult and the deck might be stacked against certain groups of people, but ultimately people can make a change.","Did not answer the question of what the terms mean, just said that they believe they can change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whether they are rich or poor, ruch or powerful, how a city is doing, things like houses cars etc",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
I define them as a shallow way of putting people above one another. It is not based on character but on an individuals material possessions and bank account. It is what is wrong with America.,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status markers are social class, education, and chosen profession and activities. The status in society/status a person has in society/where people stand in society at large is determined by these factors. Some people would include race in social class, but I consider social class/education far more important.",,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"To me, these terms mean where a person stands on the socio-economic ladder. This takes into account such things as income and education and where the person lives. For example, certain professions like physicians have very high status while other professions have lower status. This is due in part to the income of physicians and their education and how people turn to them in times of neeed.",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Their standing as far as class. And I, for one think you actually can change your status.",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social status can be understood as the degree of honor or prestige attached to one's position in society. Social stratification is associated with the ability of individuals to live up to some set of ideals or principles regarded as important by the society or some social group within it.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"My definition of ""status"" would be how others perceive my monetary and educational place in society. I think it does reflect who you are and it can be altered.",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I would define status in society as one's socioeconomic status and how much influence and power that person has in society.,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Meaning people can't break out of the situation tehyre in. if you were born poor youre probably going to remain poor. Theyre all pretty much economics.,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"To me it means how much money, influence and power the person has in society. For some it is based on how much they've accomplished in their field (medicine, politics, sports, entertainment), or how rich and powerful his family is.",,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"status is like a title someone holds, it makes other think who you are and it will affect how highly people think of you",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I think it means how important they are to society, like what job they hold like a politician or council member, member of a school board, how much decision making power they have, etc.",,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status in society would mean to me, how you are viewed among your peers and those with whom you interact with on a daily basis. It would also include those with whom you do not interact with, but may know you from everyday life.",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It represents the type of person you are. From uneducated and poor to educated and wealthy,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it makes me think of my status as part of the 99% and how i'll never be in the 1%.,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status in society is a reflection of how some 'measures up' to others in society. Generally, status can be affected by how much money you've acquired, how well-known you are in the community, how ""well-off"" you appear to be.",,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"These phrases mean to me that people no matter how hard they try, either them or an outside factor is going to keep them in their place, not having any room for status improvement. It makes me think of the many working poor in our country. Who put in many hours.","Did not answer the question of what the terms mean, just said that they believe they generally cannot change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Where a person is on the social ladder. Do they have a good job, are they making money, do they have a nice place to live, do they have discretionary income.",,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
To me they refer to financial situation. Having more money means higher job position and opening up more opportunities in life.,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Were you rank in society as far as as social status upper, middle or lower class.",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
when i thnk about status i usually think about someone who has a important job and makes a lot of money. i also think of people who are well respected in thcommunity and is well known.,,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status in society refers to the standing you have in other people's views. I feel that they can be changed and that they are not set whether good or bad.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A person's socioeconomic status, which translates to their income, social standing, and prestige.",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
I would define it by respect and success in life. So to me status is how much respect one garners form others in society. I think in economic terms as well. Higher income people tend to get more respect because of the power they hold. So to me it is a combination of monetary wealth and respect one gets from others.,,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
These terms make me think of economic status. Life your status is directly linked to if your middle or upper class.,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A person's status in society is where they are in regard to financial situations. One could be rich, middle class or poor. I think of a person with a high social staus as having money, expensive cars, etc. A person with a low social stus might be middle class or poor.",,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It means how others view you. Where government and institutions put you.,Responses are very unspecific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clearly status is something that humans have made up in society. It something based on the influence that people has in society, usually achieved through different means (political, economic or religious).",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
They make me think that we put a lot of emphasis on status and that promotes a sense of entitled ego that doesn't allow others to have better lives. Since people associate so much with their status they want it to be higher than their peers to make themselves feel better. I do think everyone does have a chance to change their status however.,"Did not answer the question of what the terms mean, just said that they believe they can change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Status in society is a term used by politicians, everyone has status in their own way. / There are different areas of interest so you can have a certain status in that area. / Where people stand in society at large means absolutely nothing to me. / Your status marker again depends on your area of interest. /","Did not answer the question of what the terms mean, just said that they are unimportant to them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Socioeconomic ladders are complicated because those with the power will always have the authority unless the 'little man' rises against. But those with 'status' keep those without status separated with fear, hate, and fundamentals. Status rarely changes in the United States from generation to generation. There are rare cases, and there are times people can work towards gaining rungs on that social ladder, but that is rare and few in between. I am of the mindset​ that ONLY I can do nothing. I am at the will and pleasure of the 1% because the 99 is divided.",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Status of a person means the quality of living of an individual based on earnings and wealth.,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"status in society- where you stand in relation to other people/how much power you have / where people stand in society at large- same thing / status markers-things that send a message to others about your position in society- things you own, what you wear, car you drive, places you go to etc.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
our economic status,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
